run_id,time_s,air_temp_c,part_temp_c,heat_flow_w_kg
A,4230,150,152.0245,51.6133
A,4260,150,152.0299,51.0144
A,4290,150,152.0271,50.4197
A,4320,150,152.0193,49.8314
A,4350,150,152.0101,49.2518
A,4380,150,152.0029,48.6823
A,4410,150,152.0007,48.1246
A,4440,150,152.0055,47.5795
A,4470,150,152.018,47.0477
A,4500,150,152.0378,46.5294
A,4530,150,152.0632,46.0244
A,4560,150,152.0915,45.5321
A,4590,150,152.1194,45.0515
A,4620,150,152.1435,44.5814
A,4650,150,152.1609,44.1203
A,4680,150,152.1691,43.6664
A,4710,150,152.1669,43.2178
A,4740,150,152.1543,42.7728
A,4770,150,152.1327,42.3293
A,4800,150,152.1043,41.8856
A,4830,150,152.0724,41.44
A,4860,150,152.0404,40.9911
A,4890,150,152.0117,40.5378
A,4920,150,151.9893,40.0793
A,4950,150,151.975,39.6151
A,4980,150,151.9696,39.1452
A,5010,150,151.9725,38.6698
A,5040,150,151.9819,38.1896
A,5070,150,151.9951,37.7057
A,5100,150,152.0088,37.2193
A,5130,150,152.0196,36.7321
A,5160,150,152.0243,36.2458
A,5190,150,152.0207,35.7625
A,5220,150,152.0074,35.2842
A,5250,150,151.9845,34.8128
A,5280,150,151.9532,34.3504
A,5310,150,151.9159,33.8987
A,5340,150,151.8757,33.4593
A,5370,150,151.8362,33.0337
A,5400,150,151.8006,32.6228
A,5430,148.8333,151.7431,32.184
A,5460,147.6667,151.6386,31.6797
A,5490,146.5,151.4903,31.1181
A,5520,145.3333,151.3,30.507
A,5550,144.1667,151.0682,29.8533
A,5580,143,150.7945,29.1635
A,5610,141.8333,150.4776,28.4434
A,5640,140.6667,150.1161,27.698
A,5670,139.5,149.709,26.9319
A,5700,138.3333,149.2557,26.149
A,5730,137.1667,148.7567,25.3526
A,5760,136,148.214,24.5457
A,5790,134.8333,147.6303,23.7309
A,5820,133.6667,147.0096,22.9105
A,5850,132.5,146.3567,22.0866
A,5880,131.3333,145.6763,21.2611
A,5910,130.1667,144.9733,20.436
A,5940,129,144.2518,19.6133
A,5970,127.8333,143.5149,18.7948
A,6000,126.6667,142.7644,17.9826
A,6030,125.5,142.0009,17.1788
A,6060,124.3333,141.2236,16.3858
A,6090,123.1667,140.4307,15.6056
A,6120,122,139.6201,14.8408
A,6150,120.8333,138.789,14.0938
A,6180,119.6667,137.9354,13.3667
A,6210,118.5,137.0578,12.6621
A,6240,117.3333,136.1557,11.982
A,6270,116.1667,135.23,11.3284
A,6300,115,134.2828,10.7031
A,6330,113.8333,133.317,10.1075
A,6360,112.6667,132.3365,9.5428
A,6390,111.5,131.3454,9.0096
A,6420,110.3333,130.3477,8.5084
A,6450,109.1667,129.3467,8.0389
A,6480,108,128.3447,7.6008
A,6510,106.8333,127.343,7.193
A,6540,105.6667,126.3413,6.8142
A,6570,104.5,125.3383,6.4627
A,6600,103.3333,124.3315,6.1366
A,6630,102.1667,123.3181,5.8335
A,6660,101,122.295,5.5509
A,6690,99.8333,121.2594,5.2863
A,6720,98.6667,120.2095,5.037
A,6750,97.5,119.1442,4.8004
A,6780,96.3333,118.0641,4.574
A,6810,95.1667,116.9707,4.3554
A,6840,94,115.8666,4.1425
A,6870,92.8333,114.7553,3.9334
A,6900,91.6667,113.6406,3.7268
A,6930,90.5,112.526,3.5215
A,6960,89.3333,111.4145,3.3168
A,6990,88.1667,110.3081,3.1124
A,7020,87,109.2076,2.9084
A,7050,85.8333,108.1125,2.7053
A,7080,84.6667,107.0211,2.5038
A,7110,83.5,105.9308,2.3051
A,7140,82.3333,104.8384,2.1106
A,7170,81.1667,103.7405,1.9217
A,7200,80,102.6342,1.74
