run_id,time_s,air_temp_c,part_temp_c,heat_flow_w_kg
B,6990,153.2778,166.6228,4.1812
B,7020,152.3333,165.9734,3.9556
B,7050,151.3889,165.3154,3.7321
B,7080,150.4444,164.6461,3.5124
B,7110,149.5,163.9629,3.2985
B,7140,148.5556,163.263,3.0919
B,7170,147.6111,162.5444,2.8947
B,7200,146.6667,161.806,2.7084
B,7230,145.7222,161.048,2.5346
B,7260,144.7778,160.2717,2.3746
B,7290,143.8333,159.4795,2.2294
B,7320,142.8889,158.675,2.0996
B,7350,141.9444,157.8619,1.9856
B,7380,141,157.0442,1.8872
B,7410,140.0556,156.2251,1.8041
B,7440,139.1111,155.4073,1.7355
B,7470,138.1667,154.5921,1.68
B,7500,137.2222,153.7796,1.6363
B,7530,136.2778,152.9688,1.6026
B,7560,135.3333,152.1573,1.5769
B,7590,134.3889,151.3423,1.5571
B,7620,133.4444,150.5206,1.5411
B,7650,132.5,149.689,1.5265
B,7680,131.5556,148.8453,1.5113
B,7710,130.6111,147.9881,1.4935
B,7740,129.6667,147.1171,1.4714
B,7770,128.7222,146.2336,1.4434
B,7800,127.7778,145.3397,1.4082
B,7830,126.8333,144.4386,1.3652
B,7860,125.8889,143.5338,1.3138
B,7890,124.9444,142.629,1.254
B,7920,124,141.7273,1.186
B,7950,123.0556,140.8311,1.1106
B,7980,122.1111,139.9414,1.0288
B,8010,121.1667,139.0583,0.942
B,8040,120.2222,138.1802,0.8518
B,8070,119.2778,137.3049,0.7599
B,8100,118.3333,136.4292,0.6684
B,8130,117.3889,135.5497,0.5791
B,8160,116.4444,134.6632,0.494
B,8190,115.5,133.7674,0.415
B,8220,114.5556,132.8606,0.3438
B,8250,113.6111,131.9426,0.2818
B,8280,112.6667,131.0144,0.2303
B,8310,111.7222,130.0781,0.19
B,8340,110.7778,129.1367,0.1615
B,8370,109.8333,128.1939,0.1449
B,8400,108.8889,127.2529,0.1399
B,8430,107.9444,126.317,0.1459
B,8460,107,125.3882,0.1619
B,8490,106.0556,124.4678,0.1866
B,8520,105.1111,123.5553,0.2182
B,8550,104.1667,122.6494,0.2551
B,8580,103.2222,121.7476,0.2952
B,8610,102.2778,120.8467,0.3365
B,8640,101.3333,119.9432,0.3769
B,8670,100.3889,119.0339,0.4144
B,8700,99.4444,118.1163,0.4471
B,8730,98.5,117.1889,0.4732
B,8760,97.5556,116.2512,0.4915
B,8790,96.6111,115.3044,0.5007
B,8820,95.6667,114.3505,0.5
B,8850,94.7222,113.3925,0.4892
B,8880,93.7778,112.4338,0.4681
B,8910,92.8333,111.4779,0.4371
B,8940,91.8889,110.5279,0.397
B,8970,90.9444,109.5858,0.349
B,9000,90,108.6526,0.2943
